Tip_ID,Domain,Phylum,Class,Order,Family,Genus,Species
Lactobacillus_acidophilus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_acidophilus
Streptococcus_pneumoniae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pneumoniae
Enterococcus_faecalis,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Clostridium_difficile,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_difficile
Roseburia_intestinalis,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia_intestinalis
Clostridioides_difficile,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoclostridium,Clostridioides_difficile
Mycobacterium_tuberculosis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_tuberculosis
Corynebacterium_glutamicum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_glutamicum
Streptomyces_coelicolor,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces_coelicolor
Cutibacterium_acnes,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium_acnes
Micrococcus_luteus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus_luteus
Bifidobacterium_longum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
Bacteroides_fragilis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Prevotella_copri,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_copri
Porphyromonas_gingivalis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_gingivalis
Flavobacterium_johnsoniae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_johnsoniae
Cytophaga_hutchinsonii,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga_hutchinsonii
Synechococcus_elongatus,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_elongatus
Nostoc_punctiforme,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Nostoc_punctiforme
Oscillatoria_nigroviridis,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria_nigroviridis
Microcystis_aeruginosa,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis_aeruginosa
Treponema_pallidum,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema_pallidum
Borrelia_burgdorferi,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia_burgdorferi
Leptospira_interrogans,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira_interrogans
Thermodesulfobacterium_commune,Bacteria,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,Thermodesulfobacterium_commune
Deinococcus_radiodurans,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_radiodurans
Thermus_thermophilus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus_thermophilus
Chloroflexus_aurantiacus,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus_aurantiacus
Herpetosiphon_aurantiacus,Bacteria,Chloroflexota,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon_aurantiacus
Planctomyces_limnophilus,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces_limnophilus
Pirellula_staleyi,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,Pirellula_staleyi
Verrucomicrobium_spinosum,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,Verrucomicrobium_spinosum
Chthoniobacter_flavus,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter_flavus
Fusobacterium_nucleatum,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Chlamydia_trachomatis,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia_trachomatis
Methanobacterium_thermoautotrophicum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_thermoautotrophicum
Methanococcus_jannaschii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus_jannaschii
Halobacterium_salinarum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium_salinarum
Haloferax_volcanii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax_volcanii
Thermococcus_kodakarensis,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus_kodakarensis
Pyrococcus_furiosus,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus_furiosus
Sulfolobus_acidocaldarius,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus_acidocaldarius
Desulfurococcus_mucosus,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus_mucosus
Thermoproteus_tenax,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus_tenax
Lokiarchaeum_sp_GC14_75,Archaea,Asgardarchaeota,Lokiarchaeia,Lokiarchaeales,Lokiarchaeaceae,Lokiarchaeum,Lokiarchaeum_sp_GC14_75
Thorarchaeum_sp_SMTZ_45,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,Thorarchaeum,Thorarchaeum_sp_SMTZ_45
